Area,Cow_Breed,No_of_Calves,Litres_of_water_Taken_by_the_cow_in_a_day,Feeding_Practices,Average_Temperature_of_the_Area,Yearly_Production
Suba North,Holstein-Friesian,4,118,Zero-grazing,19,8833
Homa Bay Town,Ayrshire,2,92,Grazing,29,9012
Ndhiwa,Guernsey,7,69,Zero-grazing,23,7940
Suba North,Brown Swiss,4,81,Grazing,18,9584
Homa Bay Town,Holstein-Friesian,7,50,Grazing,21,6774
Suba South,Ayrshire,1,79,Grazing,30,8181
Suba North,Jersey,3,110,Zero-grazing,20,10100
Suba North,Brown Swiss,5,59,Zero-grazing,21,8308
Suba North,Brown Swiss,7,72,Zero-grazing,23,5734
Rachuonyo East,Ayrshire,4,85,Mixed,18,9938
Homa Bay Town,Holstein-Friesian,6,70,Grazing,24,2865
Rachuonyo South,Ayrshire,2,108,Zero-grazing,26,8630
Suba South,Guernsey,5,57,Mixed,19,5495
Rachuonyo North,Brown Swiss,7,59,Mixed,21,6157
Suba North,Guernsey,4,80,Zero-grazing,19,11222
Suba South,Guernsey,2,89,Zero-grazing,23,9573
Rachuonyo South,Ayrshire,4,91,Grazing,17,11374
Ndhiwa,Brown Swiss,1,55,Zero-grazing,24,5961
Suba South,Guernsey,4,116,Mixed,21,11211
Homa Bay Town,Brown Swiss,7,73,Zero-grazing,29,7104
Rachuonyo South,Brown Swiss,4,86,Zero-grazing,20,11062
Ndhiwa,Ayrshire,7,53,Grazing,28,5526
Homa Bay Town,Holstein-Friesian,1,74,Mixed,16,5044
Ndhiwa,Guernsey,6,66,Mixed,19,2481
Suba South,Ayrshire,3,104,Grazing,18,10554
Rachuonyo North,Guernsey,7,56,Grazing,29,7520
Rachuonyo South,Ayrshire,1,75,Mixed,22,7784
Suba South,Guernsey,7,73,Grazing,27,7575
Rachuonyo South,Holstein-Friesian,3,95,Zero-grazing,24,9244
Homa Bay Town,Holstein-Friesian,1,73,Mixed,24,7248
Rachuonyo North,Ayrshire,3,94,Zero-grazing,16,8861
Suba North,Jersey,7,68,Mixed,22,6666
Rachuonyo East,Jersey,7,71,Mixed,26,7150
Rachuonyo South,Brown Swiss,5,73,Zero-grazing,28,6637
Rachuonyo South,Holstein-Friesian,7,68,Grazing,18,8274
Rachuonyo North,Brown Swiss,7,58,Grazing,28,7457
Rachuonyo North,Guernsey,5,55,Zero-grazing,30,6669
Rachuonyo North,Holstein-Friesian,2,116,Mixed,28,8888
Homa Bay Town,Jersey,1,60,Mixed,30,6382
Homa Bay Town,Ayrshire,6,70,Zero-grazing,22,3974
Rachuonyo East,Jersey,1,59,Zero-grazing,26,7210
Suba South,Brown Swiss,5,73,Mixed,22,6474
Rachuonyo South,Guernsey,2,85,Zero-grazing,28,8906
Suba North,Holstein-Friesian,1,78,Grazing,28,5023
Suba South,Brown Swiss,2,109,Mixed,28,10001
Homa Bay Town,Guernsey,5,66,Mixed,23,6439
Suba North,Guernsey,3,81,Mixed,29,10495
Rachuonyo South,Jersey,7,65,Grazing,22,7251
Rachuonyo East,Brown Swiss,1,66,Zero-grazing,15,6050
Rachuonyo East,Holstein-Friesian,6,54,Zero-grazing,30,3308
Suba North,Jersey,5,71,Mixed,29,5735
Homa Bay Town,Brown Swiss,7,68,Grazing,25,8242
Suba North,Guernsey,2,101,Zero-grazing,25,8519
Rachuonyo East,Brown Swiss,4,95,Grazing,24,9676
Ndhiwa,Jersey,4,85,Mixed,20,8706
Rachuonyo East,Ayrshire,1,56,Grazing,26,7039
Rachuonyo East,Jersey,6,55,Grazing,27,2499
Ndhiwa,Ayrshire,4,114,Zero-grazing,21,9224
Suba North,Holstein-Friesian,1,60,Mixed,25,6291
Rachuonyo East,Brown Swiss,1,73,Zero-grazing,26,6946
Rachuonyo East,Guernsey,2,80,Zero-grazing,30,8525
Suba South,Ayrshire,3,83,Grazing,22,10337
Suba South,Ayrshire,2,82,Grazing,30,10759
Rachuonyo East,Guernsey,6,58,Grazing,23,3161
Homa Bay Town,Jersey,2,113,Mixed,25,11306
Rachuonyo East,Guernsey,2,94,Zero-grazing,24,9126
Rachuonyo North,Jersey,7,76,Grazing,27,5169
Rachuonyo North,Ayrshire,7,65,Zero-grazing,25,6333
Rachuonyo East,Ayrshire,6,69,Zero-grazing,25,2818
Suba North,Brown Swiss,4,92,Zero-grazing,29,8532
Rachuonyo East,Jersey,6,68,Zero-grazing,28,2651
Homa Bay Town,Holstein-Friesian,3,94,Grazing,22,11458
Homa Bay Town,Brown Swiss,2,85,Mixed,29,11286
Suba South,Holstein-Friesian,3,96,Grazing,19,9177
Rachuonyo East,Ayrshire,1,74,Mixed,21,7976
Rachuonyo East,Jersey,1,62,Zero-grazing,23,6621
Suba North,Holstein-Friesian,5,67,Mixed,18,7078
Rachuonyo South,Ayrshire,7,64,Grazing,21,7387
Suba North,Jersey,7,50,Zero-grazing,20,5253
Rachuonyo North,Ayrshire,3,109,Grazing,22,11392
Rachuonyo East,Jersey,7,76,Mixed,21,7582
Ndhiwa,Guernsey,2,116,Zero-grazing,21,8714
Rachuonyo East,Holstein-Friesian,7,66,Grazing,27,7913
Rachuonyo North,Holstein-Friesian,3,82,Mixed,18,10040
Rachuonyo South,Holstein-Friesian,6,55,Grazing,17,3510
Ndhiwa,Ayrshire,5,70,Zero-grazing,26,5179
Rachuonyo North,Brown Swiss,1,60,Mixed,30,7520
Homa Bay Town,Brown Swiss,7,67,Grazing,22,7352
Rachuonyo East,Holstein-Friesian,1,54,Zero-grazing,29,7353
Rachuonyo South,Jersey,3,88,Grazing,15,11308
Rachuonyo North,Guernsey,5,57,Mixed,15,8018
Homa Bay Town,Guernsey,7,74,Grazing,16,7012
Rachuonyo East,Guernsey,1,64,Zero-grazing,26,7659
Rachuonyo North,Guernsey,1,78,Zero-grazing,25,6331
Rachuonyo North,Ayrshire,7,79,Grazing,24,5157
Suba North,Ayrshire,4,98,Mixed,23,11443
Rachuonyo South,Ayrshire,4,107,Grazing,21,10658
Ndhiwa,Jersey,2,107,Mixed,29,10400
Suba South,Guernsey,5,52,Mixed,16,5455
Suba North,Jersey,2,86,Zero-grazing,16,9142
Suba South,Jersey,1,69,Zero-grazing,25,7814
Rachuonyo East,Jersey,3,92,Grazing,17,8620
Suba North,Brown Swiss,3,107,Zero-grazing,27,11275
Rachuonyo South,Ayrshire,1,50,Zero-grazing,18,5919
Rachuonyo North,Brown Swiss,4,110,Grazing,15,10709
Rachuonyo South,Holstein-Friesian,6,53,Zero-grazing,22,3753
Ndhiwa,Jersey,7,56,Grazing,17,6233
Ndhiwa,Brown Swiss,3,105,Zero-grazing,16,10734
Rachuonyo East,Guernsey,5,58,Mixed,29,6721
Suba South,Guernsey,2,91,Mixed,16,8668
Homa Bay Town,Brown Swiss,6,70,Zero-grazing,17,2232
Rachuonyo East,Guernsey,1,74,Mixed,21,5435
Rachuonyo North,Guernsey,6,59,Zero-grazing,30,2281
Ndhiwa,Holstein-Friesian,3,97,Grazing,15,8827
Rachuonyo South,Holstein-Friesian,7,70,Zero-grazing,27,7600
Rachuonyo East,Guernsey,7,61,Mixed,23,6381
Ndhiwa,Guernsey,4,112,Zero-grazing,27,9292
Homa Bay Town,Brown Swiss,5,78,Grazing,15,8382
Homa Bay Town,Jersey,2,87,Zero-grazing,25,9335
Rachuonyo East,Brown Swiss,3,102,Mixed,19,8675
Rachuonyo North,Jersey,2,105,Mixed,30,8994
Rachuonyo East,Holstein-Friesian,7,78,Grazing,21,8081
Rachuonyo South,Ayrshire,5,69,Mixed,28,7293
Suba South,Holstein-Friesian,3,87,Zero-grazing,25,11820
Ndhiwa,Holstein-Friesian,2,87,Zero-grazing,29,10197
Rachuonyo North,Jersey,4,108,Mixed,15,10301
Suba North,Holstein-Friesian,5,78,Zero-grazing,20,5084
Rachuonyo South,Jersey,1,53,Zero-grazing,29,6864
Rachuonyo South,Ayrshire,4,115,Grazing,19,11934
Suba South,Guernsey,1,73,Grazing,20,6015
Rachuonyo North,Ayrshire,3,94,Mixed,29,10307
Ndhiwa,Guernsey,2,94,Zero-grazing,17,11762
Suba South,Jersey,6,69,Mixed,18,3090
Rachuonyo East,Guernsey,5,50,Mixed,21,6077
Suba North,Guernsey,2,93,Zero-grazing,27,10593
Rachuonyo South,Guernsey,5,51,Mixed,26,5474
Rachuonyo South,Guernsey,6,60,Mixed,23,2483
Ndhiwa,Guernsey,4,84,Zero-grazing,25,9532
Rachuonyo South,Jersey,1,71,Mixed,25,6780
Ndhiwa,Ayrshire,6,53,Grazing,19,2245
Ndhiwa,Brown Swiss,7,76,Grazing,22,7362
Suba South,Holstein-Friesian,4,82,Zero-grazing,27,11358
Homa Bay Town,Guernsey,7,57,Mixed,28,5603
Ndhiwa,Jersey,3,82,Mixed,24,10902
Rachuonyo South,Jersey,5,69,Grazing,29,6193
Homa Bay Town,Jersey,7,74,Grazing,30,7591
Suba South,Ayrshire,4,88,Grazing,18,8694
Suba North,Brown Swiss,6,69,Zero-grazing,23,3915
Suba North,Ayrshire,4,86,Mixed,21,10664
Ndhiwa,Guernsey,5,66,Mixed,19,6103
Rachuonyo South,Jersey,3,114,Zero-grazing,25,9461
Suba North,Jersey,5,52,Mixed,27,6423
Homa Bay Town,Holstein-Friesian,3,94,Mixed,15,9119
Rachuonyo North,Holstein-Friesian,1,51,Grazing,16,7992
Suba North,Jersey,2,109,Zero-grazing,25,10341
Rachuonyo South,Ayrshire,7,76,Zero-grazing,15,7962
Rachuonyo South,Brown Swiss,7,78,Grazing,17,8363
Rachuonyo South,Brown Swiss,5,80,Grazing,19,7063
Rachuonyo North,Holstein-Friesian,6,60,Mixed,25,3743
Suba South,Ayrshire,3,89,Mixed,19,11847
Suba North,Guernsey,1,67,Mixed,26,7642
Homa Bay Town,Holstein-Friesian,6,58,Grazing,19,2320
Suba South,Jersey,5,57,Mixed,25,7222
Rachuonyo North,Brown Swiss,2,105,Grazing,16,8950
Rachuonyo East,Guernsey,5,67,Mixed,27,8463
Rachuonyo South,Holstein-Friesian,6,55,Mixed,27,2808
Homa Bay Town,Ayrshire,7,76,Grazing,21,8201
Rachuonyo North,Guernsey,2,96,Zero-grazing,21,11770
Homa Bay Town,Ayrshire,3,114,Grazing,27,9136
Suba South,Brown Swiss,4,80,Zero-grazing,25,9316
Rachuonyo North,Jersey,5,70,Mixed,24,7303
Suba South,Guernsey,3,86,Mixed,20,10378
Homa Bay Town,Ayrshire,2,100,Grazing,28,10167
Ndhiwa,Holstein-Friesian,7,62,Zero-grazing,25,8177
Rachuonyo North,Brown Swiss,3,87,Mixed,25,8604
Rachuonyo South,Jersey,3,101,Grazing,21,9777
Homa Bay Town,Brown Swiss,1,71,Mixed,21,5793
Homa Bay Town,Jersey,5,62,Zero-grazing,15,5981
Rachuonyo North,Jersey,1,63,Zero-grazing,22,7588
Homa Bay Town,Jersey,1,52,Zero-grazing,26,8259
Suba North,Holstein-Friesian,7,61,Mixed,25,6991
Ndhiwa,Brown Swiss,3,80,Zero-grazing,16,9989
Rachuonyo North,Jersey,1,75,Zero-grazing,23,6655
Rachuonyo South,Guernsey,6,53,Mixed,15,2900
Homa Bay Town,Holstein-Friesian,7,74,Mixed,28,5174
Ndhiwa,Guernsey,7,68,Mixed,30,7206
Rachuonyo North,Guernsey,1,70,Zero-grazing,22,5652
Suba South,Ayrshire,4,80,Mixed,28,9595
Suba North,Brown Swiss,3,101,Grazing,29,9759
Rachuonyo South,Holstein-Friesian,1,59,Grazing,21,6420
Rachuonyo East,Brown Swiss,3,91,Mixed,18,10287
Ndhiwa,Ayrshire,1,72,Mixed,17,7623
Homa Bay Town,Guernsey,3,93,Grazing,16,9814
Rachuonyo South,Ayrshire,7,55,Zero-grazing,20,6003
Suba North,Holstein-Friesian,6,64,Mixed,15,2788
Rachuonyo South,Brown Swiss,5,64,Mixed,24,6519
Ndhiwa,Guernsey,7,52,Grazing,15,7471
Rachuonyo East,Jersey,1,58,Zero-grazing,21,5365
Rachuonyo South,Holstein-Friesian,3,90,Grazing,26,8828
Rachuonyo South,Guernsey,5,76,Mixed,27,5651
Rachuonyo East,Jersey,3,80,Zero-grazing,24,10185
Ndhiwa,Ayrshire,1,56,Zero-grazing,21,5887
Rachuonyo South,Jersey,5,74,Mixed,22,7035
Ndhiwa,Jersey,2,110,Grazing,25,9420
Rachuonyo East,Holstein-Friesian,2,115,Zero-grazing,19,9749
Suba South,Brown Swiss,7,65,Grazing,29,5981
Ndhiwa,Brown Swiss,2,86,Grazing,17,11190
Homa Bay Town,Holstein-Friesian,4,115,Zero-grazing,25,9356
Suba South,Guernsey,5,76,Zero-grazing,20,8318
Suba South,Guernsey,4,87,Zero-grazing,18,11909
Suba South,Brown Swiss,7,61,Zero-grazing,27,7910
Rachuonyo North,Guernsey,4,96,Mixed,21,11026
Rachuonyo South,Brown Swiss,5,79,Zero-grazing,27,7221
Rachuonyo East,Guernsey,1,69,Mixed,22,7255
Suba North,Brown Swiss,7,73,Mixed,18,6809
Homa Bay Town,Jersey,7,57,Mixed,30,5664
Homa Bay Town,Holstein-Friesian,6,68,Grazing,26,3265
Rachuonyo South,Brown Swiss,6,53,Grazing,30,2984
Rachuonyo South,Guernsey,2,97,Grazing,27,11065
Suba North,Holstein-Friesian,7,50,Mixed,28,5029
Ndhiwa,Holstein-Friesian,3,88,Mixed,18,10121
Rachuonyo North,Ayrshire,3,95,Grazing,20,9691
Suba South,Jersey,2,107,Mixed,23,11123
Ndhiwa,Brown Swiss,7,68,Mixed,17,6711
Suba South,Guernsey,2,101,Zero-grazing,16,8596
Suba South,Ayrshire,3,103,Grazing,21,8698
Suba North,Brown Swiss,3,112,Zero-grazing,27,11260
Rachuonyo South,Guernsey,1,63,Grazing,30,5662
Rachuonyo South,Jersey,3,104,Zero-grazing,23,9928
Rachuonyo North,Jersey,7,68,Zero-grazing,26,7925
Homa Bay Town,Jersey,5,61,Grazing,17,5031
Ndhiwa,Guernsey,4,116,Zero-grazing,28,11296
Homa Bay Town,Holstein-Friesian,4,91,Grazing,23,10085
Ndhiwa,Holstein-Friesian,6,56,Grazing,15,2108
Suba North,Ayrshire,6,60,Grazing,25,3984
Rachuonyo East,Ayrshire,1,51,Grazing,28,7474
Ndhiwa,Brown Swiss,6,59,Zero-grazing,18,3246
Rachuonyo South,Jersey,7,57,Mixed,17,5328
Ndhiwa,Holstein-Friesian,7,63,Mixed,16,7018
Rachuonyo North,Guernsey,2,118,Mixed,19,9574
Homa Bay Town,Guernsey,4,91,Zero-grazing,22,9157
Homa Bay Town,Brown Swiss,3,110,Zero-grazing,22,8600
Suba South,Brown Swiss,7,55,Zero-grazing,18,8279
Rachuonyo South,Guernsey,6,70,Grazing,25,3921
Suba North,Holstein-Friesian,5,58,Grazing,27,5350
Rachuonyo North,Holstein-Friesian,1,65,Grazing,15,5368
Rachuonyo East,Holstein-Friesian,6,65,Mixed,18,2601
Homa Bay Town,Jersey,4,84,Zero-grazing,23,11860
Rachuonyo East,Jersey,3,81,Grazing,21,9361
Ndhiwa,Guernsey,5,72,Mixed,28,5726
Suba South,Holstein-Friesian,3,108,Grazing,22,10443
Rachuonyo South,Brown Swiss,7,55,Zero-grazing,17,6648
Suba North,Holstein-Friesian,1,69,Zero-grazing,30,7892
Ndhiwa,Jersey,2,109,Zero-grazing,26,11042
Homa Bay Town,Brown Swiss,5,70,Grazing,24,5743
Rachuonyo East,Ayrshire,3,101,Zero-grazing,28,9008
Suba South,Brown Swiss,1,72,Mixed,30,7934
Rachuonyo North,Holstein-Friesian,7,53,Zero-grazing,23,5543
Suba South,Guernsey,2,113,Mixed,19,9854
Rachuonyo East,Jersey,1,78,Zero-grazing,22,6953
Homa Bay Town,Jersey,4,100,Zero-grazing,16,8982
Suba North,Ayrshire,5,66,Zero-grazing,17,6572
Rachuonyo East,Holstein-Friesian,6,60,Mixed,20,2622
Rachuonyo East,Guernsey,7,50,Grazing,21,6882
Homa Bay Town,Guernsey,3,111,Grazing,19,9210
Suba North,Ayrshire,1,54,Grazing,26,7179
Homa Bay Town,Ayrshire,7,63,Grazing,17,6670
Suba South,Brown Swiss,4,97,Zero-grazing,30,10353
Suba South,Holstein-Friesian,1,63,Zero-grazing,19,7279
Suba North,Jersey,6,62,Grazing,30,3818
Homa Bay Town,Jersey,3,100,Mixed,15,10850
Homa Bay Town,Holstein-Friesian,5,61,Grazing,26,8081
Suba North,Guernsey,3,111,Mixed,29,11927
Ndhiwa,Guernsey,6,55,Zero-grazing,22,3451
Rachuonyo South,Guernsey,6,59,Zero-grazing,27,2789
Homa Bay Town,Guernsey,7,72,Zero-grazing,30,6906
Suba South,Ayrshire,5,62,Zero-grazing,30,7809
Rachuonyo East,Jersey,1,64,Mixed,15,6347
Ndhiwa,Jersey,3,100,Grazing,27,11136
Suba South,Ayrshire,4,89,Zero-grazing,29,10394
Rachuonyo North,Brown Swiss,3,110,Grazing,15,11809
Suba South,Jersey,5,55,Mixed,23,5460
Rachuonyo East,Jersey,5,53,Zero-grazing,19,6612
Homa Bay Town,Jersey,3,114,Zero-grazing,25,10331
Suba South,Holstein-Friesian,1,56,Zero-grazing,21,6080
Ndhiwa,Brown Swiss,4,116,Mixed,19,9293
Rachuonyo South,Holstein-Friesian,6,54,Mixed,25,3218
Rachuonyo South,Brown Swiss,1,66,Mixed,15,8168
Rachuonyo North,Brown Swiss,7,78,Mixed,15,6883
Rachuonyo East,Ayrshire,2,116,Mixed,17,10058
Rachuonyo South,Brown Swiss,1,73,Mixed,21,6960
Suba South,Guernsey,6,60,Zero-grazing,29,2794
Suba North,Jersey,7,68,Zero-grazing,17,6185
Rachuonyo North,Jersey,1,55,Zero-grazing,28,6460
Suba South,Guernsey,4,110,Mixed,26,11608
Homa Bay Town,Holstein-Friesian,3,110,Grazing,29,10441
Rachuonyo North,Ayrshire,2,99,Zero-grazing,17,9947
Rachuonyo East,Holstein-Friesian,6,70,Zero-grazing,26,3026
Rachuonyo South,Brown Swiss,6,55,Zero-grazing,27,3896
Rachuonyo East,Ayrshire,2,89,Grazing,26,11825
Rachuonyo South,Brown Swiss,6,70,Mixed,21,3572
Ndhiwa,Jersey,6,62,Zero-grazing,29,3676
Suba South,Jersey,4,88,Grazing,16,9601
Rachuonyo South,Holstein-Friesian,6,55,Zero-grazing,20,3965
Suba South,Guernsey,5,62,Mixed,24,7612
Homa Bay Town,Ayrshire,7,58,Mixed,25,8225
Homa Bay Town,Holstein-Friesian,7,69,Zero-grazing,17,7277
Homa Bay Town,Jersey,1,63,Zero-grazing,19,5255
Ndhiwa,Jersey,7,60,Zero-grazing,24,7326
Rachuonyo East,Holstein-Friesian,1,58,Zero-grazing,18,6899
Suba North,Jersey,4,115,Mixed,28,11680
Suba North,Jersey,2,102,Grazing,25,9112
Rachuonyo South,Jersey,2,92,Mixed,25,11902
Rachuonyo East,Holstein-Friesian,1,55,Zero-grazing,26,6992
Suba North,Guernsey,4,91,Mixed,22,10592
Rachuonyo North,Ayrshire,6,53,Grazing,19,3990
Rachuonyo South,Brown Swiss,5,79,Grazing,21,5478
Rachuonyo South,Brown Swiss,4,111,Mixed,27,9585
Suba South,Ayrshire,6,67,Zero-grazing,27,3413
Rachuonyo South,Holstein-Friesian,6,52,Mixed,23,3787
Rachuonyo North,Jersey,2,96,Zero-grazing,18,8902
Ndhiwa,Jersey,2,93,Mixed,22,9300
Homa Bay Town,Brown Swiss,2,116,Grazing,21,9820
Homa Bay Town,Holstein-Friesian,6,51,Zero-grazing,28,3468
Ndhiwa,Guernsey,5,77,Zero-grazing,30,6170
Homa Bay Town,Guernsey,3,107,Zero-grazing,18,8848
Ndhiwa,Brown Swiss,7,70,Grazing,23,5478
Ndhiwa,Ayrshire,4,100,Grazing,26,9777
Rachuonyo East,Brown Swiss,2,119,Mixed,22,9600
Suba South,Ayrshire,6,60,Zero-grazing,17,3372
Ndhiwa,Ayrshire,2,105,Mixed,24,9625
Suba South,Guernsey,7,75,Grazing,29,8133
Ndhiwa,Ayrshire,2,92,Mixed,16,10476
Suba North,Guernsey,7,64,Grazing,22,6418
Suba North,Ayrshire,3,113,Mixed,22,10960
Suba North,Brown Swiss,5,58,Zero-grazing,26,5619
Rachuonyo South,Jersey,7,67,Mixed,15,8011
Homa Bay Town,Guernsey,2,103,Zero-grazing,19,9879
Rachuonyo North,Ayrshire,5,59,Zero-grazing,17,5406
Ndhiwa,Holstein-Friesian,7,54,Mixed,28,8316
Rachuonyo South,Guernsey,2,111,Mixed,28,9027
Rachuonyo North,Holstein-Friesian,1,63,Grazing,18,6879
Suba South,Jersey,6,64,Mixed,27,2178
Homa Bay Town,Ayrshire,5,77,Grazing,23,5897
Rachuonyo North,Jersey,1,59,Grazing,18,5599
Suba South,Jersey,2,81,Zero-grazing,26,9419
Suba North,Jersey,2,81,Grazing,22,11353
Suba South,Holstein-Friesian,7,74,Grazing,17,5286
Homa Bay Town,Brown Swiss,6,50,Grazing,24,3971
Suba South,Guernsey,5,62,Grazing,17,7876
Rachuonyo East,Brown Swiss,5,67,Mixed,18,7293
Rachuonyo South,Jersey,1,79,Zero-grazing,15,5935
Suba North,Ayrshire,1,61,Mixed,25,6307
Homa Bay Town,Jersey,3,101,Zero-grazing,19,11875
Ndhiwa,Holstein-Friesian,2,99,Mixed,18,11411
Suba North,Brown Swiss,5,52,Mixed,15,8247
Homa Bay Town,Holstein-Friesian,6,68,Grazing,25,2489
Homa Bay Town,Jersey,7,69,Mixed,22,8397
Ndhiwa,Jersey,4,114,Grazing,26,11502
Homa Bay Town,Brown Swiss,1,55,Zero-grazing,27,5146
Ndhiwa,Holstein-Friesian,1,61,Zero-grazing,21,8238
Rachuonyo East,Holstein-Friesian,7,57,Grazing,25,7153
Ndhiwa,Ayrshire,2,81,Grazing,25,9717
Ndhiwa,Guernsey,2,117,Grazing,22,9805
Ndhiwa,Brown Swiss,5,60,Grazing,16,7835
Ndhiwa,Holstein-Friesian,2,96,Mixed,24,10077
Homa Bay Town,Jersey,5,69,Zero-grazing,29,7785
Homa Bay Town,Holstein-Friesian,6,69,Mixed,17,3431
Ndhiwa,Jersey,3,89,Mixed,21,11478
Rachuonyo North,Ayrshire,3,111,Grazing,29,8793
Rachuonyo North,Ayrshire,2,103,Zero-grazing,18,11858
Suba South,Jersey,2,98,Zero-grazing,29,11633
Rachuonyo South,Jersey,2,100,Zero-grazing,29,11751
Rachuonyo North,Jersey,5,73,Mixed,28,6193
Rachuonyo North,Holstein-Friesian,4,91,Grazing,30,8723
Rachuonyo South,Jersey,1,54,Grazing,15,7845
Suba North,Holstein-Friesian,2,81,Grazing,20,10111
Rachuonyo East,Brown Swiss,4,103,Zero-grazing,29,11209
Rachuonyo North,Guernsey,4,110,Mixed,26,10844
Suba South,Ayrshire,4,111,Grazing,26,11918
Suba South,Ayrshire,3,117,Zero-grazing,27,11858
Suba North,Brown Swiss,1,50,Zero-grazing,15,7183
Suba South,Ayrshire,5,57,Mixed,30,6476
Rachuonyo East,Ayrshire,6,51,Zero-grazing,24,3558
Suba South,Jersey,3,96,Grazing,25,10601
Suba North,Guernsey,7,56,Mixed,23,6404
Ndhiwa,Holstein-Friesian,1,63,Mixed,15,6206
Rachuonyo North,Ayrshire,7,65,Mixed,29,7109
Suba South,Ayrshire,4,84,Grazing,22,11037
Rachuonyo North,Ayrshire,3,87,Grazing,26,11637
Rachuonyo North,Brown Swiss,2,94,Grazing,15,11115
Suba South,Holstein-Friesian,6,51,Mixed,29,2841
Rachuonyo North,Brown Swiss,5,58,Mixed,16,7734
Suba South,Guernsey,4,87,Mixed,27,11834
Ndhiwa,Jersey,3,90,Mixed,21,11127
Suba South,Guernsey,3,99,Grazing,23,11250
Ndhiwa,Guernsey,7,80,Zero-grazing,22,5233
Suba South,Holstein-Friesian,4,88,Grazing,28,11231
Homa Bay Town,Holstein-Friesian,4,86,Grazing,29,8707
Suba South,Jersey,7,61,Zero-grazing,18,5209
Rachuonyo South,Ayrshire,7,60,Mixed,26,7260
Rachuonyo South,Brown Swiss,7,65,Zero-grazing,29,5688
Rachuonyo North,Brown Swiss,7,73,Grazing,15,7371
Rachuonyo South,Jersey,2,98,Mixed,19,10975
Suba South,Guernsey,1,52,Grazing,25,7576
Rachuonyo South,Jersey,1,71,Zero-grazing,18,6260
Homa Bay Town,Holstein-Friesian,3,93,Grazing,22,9639
Rachuonyo South,Jersey,2,93,Zero-grazing,27,11036
Rachuonyo North,Ayrshire,3,104,Grazing,24,11075
Rachuonyo East,Holstein-Friesian,3,118,Grazing,21,9718
Rachuonyo South,Jersey,3,114,Mixed,26,10555
Rachuonyo North,Brown Swiss,1,51,Zero-grazing,30,6948
Suba North,Guernsey,4,88,Grazing,16,11159
Rachuonyo South,Jersey,1,65,Mixed,17,6644
Rachuonyo South,Ayrshire,3,82,Grazing,27,9095
Rachuonyo South,Ayrshire,3,102,Zero-grazing,27,9525
Rachuonyo East,Jersey,4,84,Mixed,19,11829
Suba South,Jersey,2,100,Zero-grazing,23,10261
Rachuonyo East,Ayrshire,3,88,Zero-grazing,19,11195
Ndhiwa,Jersey,6,64,Grazing,25,2884
Homa Bay Town,Guernsey,2,106,Mixed,30,9090
Suba North,Guernsey,5,66,Zero-grazing,29,6969
Homa Bay Town,Holstein-Friesian,1,63,Zero-grazing,25,6678
Rachuonyo East,Holstein-Friesian,3,92,Zero-grazing,27,11081
Homa Bay Town,Ayrshire,4,91,Grazing,19,10066
Rachuonyo East,Ayrshire,6,62,Zero-grazing,21,2367
Ndhiwa,Brown Swiss,5,64,Grazing,21,7723
Suba South,Ayrshire,4,104,Zero-grazing,27,8651
Ndhiwa,Ayrshire,4,109,Grazing,20,8863
Suba North,Holstein-Friesian,5,61,Zero-grazing,30,7654
Suba South,Holstein-Friesian,4,80,Mixed,21,10493
Suba North,Brown Swiss,4,113,Mixed,19,10356
Homa Bay Town,Holstein-Friesian,6,69,Mixed,30,2388
Rachuonyo North,Guernsey,7,66,Grazing,27,7290
Rachuonyo East,Brown Swiss,6,50,Grazing,25,2451
Rachuonyo East,Holstein-Friesian,4,112,Mixed,16,8633
Suba South,Guernsey,5,71,Mixed,28,6550
Rachuonyo North,Holstein-Friesian,1,64,Zero-grazing,16,8448
Rachuonyo South,Brown Swiss,6,59,Mixed,15,3730
Rachuonyo East,Ayrshire,6,61,Grazing,25,2286
Homa Bay Town,Jersey,2,120,Mixed,24,9890
Rachuonyo North,Brown Swiss,7,66,Mixed,25,5488
Rachuonyo East,Holstein-Friesian,2,86,Mixed,27,11425
Homa Bay Town,Brown Swiss,3,88,Zero-grazing,21,9712
Ndhiwa,Guernsey,3,84,Mixed,15,9903
Ndhiwa,Guernsey,5,63,Mixed,25,6494
Homa Bay Town,Holstein-Friesian,3,107,Mixed,24,10729
Homa Bay Town,Jersey,4,94,Grazing,18,11684
Suba North,Brown Swiss,7,51,Zero-grazing,19,8305
Rachuonyo East,Guernsey,5,53,Mixed,18,7845
Ndhiwa,Jersey,7,79,Grazing,21,8410
Suba South,Guernsey,4,104,Zero-grazing,15,10529
Homa Bay Town,Brown Swiss,6,61,Zero-grazing,19,2762
Ndhiwa,Ayrshire,6,51,Grazing,19,2434
Rachuonyo South,Holstein-Friesian,6,51,Zero-grazing,29,3989
Rachuonyo East,Jersey,1,80,Grazing,22,5697
Rachuonyo South,Ayrshire,2,115,Grazing,23,9403
Rachuonyo South,Jersey,4,117,Grazing,20,10518
Homa Bay Town,Brown Swiss,2,83,Mixed,17,8888
Suba South,Ayrshire,6,62,Mixed,25,2087
Ndhiwa,Guernsey,2,87,Grazing,29,9433
Homa Bay Town,Guernsey,2,116,Grazing,16,11146
Rachuonyo North,Guernsey,2,88,Grazing,18,9585
Homa Bay Town,Jersey,7,51,Grazing,28,6063
Suba South,Ayrshire,3,114,Zero-grazing,24,9279
